,ISIN,COMPANY_CODE,SECTOR_CODE,REPORTING_YEAR,N_SDG1,N_SDG2,N_SDG3,N_SDG4,N_SDG5,N_SDG6,N_SDG7,N_SDG8,N_SDG9,N_SDG10,N_SDG11,N_SDG12,N_SDG13,N_SDG14,N_SDG15,N_SDG16,N_SDG17,Market Value
15740,US3021301094,EXPEDI00002,AIRL,2022,0,0,-2500000,0,0,-290000,0,0,0,0,-3000000,-1100000,-5700000,-85000,-71000,0,0,"$17,126.51 "
15741,US3021301094,EXPEDI00002,AIRL,2022,0,0,-2500000,0,0,-290000,0,0,0,0,-3000000,-1100000,-5700000,-85000,-71000,0,0,"$17,126.51 "
15754,US3030751057,FACTSE00001,ITIS,2022,0,0,-66000,0,0,-31000,0,0,0,0,-15000,-14000,-400000,-9700,-7400,0,0,"$15,809.57 "
15755,US3030751057,FACTSE00001,ITIS,2022,0,0,-66000,0,0,-31000,0,0,0,0,-15000,-14000,-400000,-9700,-7400,0,0,"$15,809.57 "
15768,US1598641074,CHARLE00001,PILL,2022,0,0,-2700000,0,0,-830000,0,0,0,0,-460000,-530000,-11000000,-460000,-180000,0,0,"$10,196.14 "
15769,US1598641074,CHARLE00001,PILL,2022,0,0,-2700000,0,0,-830000,0,0,0,0,-460000,-530000,-11000000,-460000,-180000,0,0,"$10,196.14 "
15782,US37940X1028,GLOBAL00001,ITIS,2022,0,0,-280000,0,0,-110000,0,0,0,0,-78000,-70000,-2800000,-44000,-23000,0,0,"$27,987.26 "
15783,US37940X1028,GLOBAL00001,ITIS,2022,0,0,-280000,0,0,-110000,0,0,0,0,-78000,-70000,-2800000,-44000,-23000,0,0,"$27,987.26 "
15796,CNE100002V44,CAITON00001,FINS,2022,0,0,-36000,0,0,-25000,0,0,0,0,-4600,-4600,-180000,-3000,-7300,0,0,"$3,068.09 "
15797,CNE100002V44,CAITON00001,FINS,2022,0,0,-36000,0,0,-25000,0,0,0,0,-4600,-4600,-180000,-3000,-7300,0,0,"$3,068.09 "
15810,US0905722072,BIORAD00001,OTMA,2022,0,0,-1500000,0,0,-530000,0,-3100000000,-1600000000,0,-360000,-340000,-2300000,-240000,-110000,0,0,"$10,045.79 "
15811,US0905722072,BIORAD00001,OTMA,2022,0,0,-1500000,0,0,-530000,0,-3100000000,-1600000000,0,-360000,-340000,-2300000,-240000,-110000,0,0,"$10,045.79 "
15824,CH0418792922,SIKAXX00001,PERF,2022,0,0,-6100000,0,0,-2300000,0,0,0,0,-1200000,-1300000,-18000000,-970000,-510000,0,0,"$39,499.54 "
15825,CH0418792922,SIKAXX00001,PERF,2022,0,0,-6100000,0,0,-2300000,0,0,0,0,-1200000,-1300000,-18000000,-970000,-510000,0,0,"$39,499.54 "
15838,US14448C1045,CARRIE00001,FMMA,2022,0,0,-6000000,0,0,-220000,0,0,0,0,-5900000,-2200000,-22000000,-380000,-58000,0,0,"$36,861.13 "
15839,US14448C1045,CARRIE00001,FMMA,2022,0,0,-6000000,0,0,-220000,0,0,0,0,-5900000,-2200000,-22000000,-380000,-58000,0,0,"$36,861.13 "
15852,US8716071076,SYNOPS00001,EEMA,2022,0,0,-1100000,0,0,-400000,0,0,0,0,-160000,-190000,-3000000,-170000,-99000,0,0,"$57,773.34 "
15853,US8716071076,SYNOPS00001,EEMA,2022,0,0,-1100000,0,0,-400000,0,0,0,0,-160000,-190000,-3000000,-170000,-99000,0,0,"$57,773.34 "
15866,US8064071025,HENRYS00001,WHRE,2022,0,0,-34000,0,0,-6500,0,0,0,0,-19000,-8900,-1500000,-3600,-1700,0,0,"$10,659.89 "
15867,US8064071025,HENRYS00001,WHRE,2022,0,0,-34000,0,0,-6500,0,0,0,0,-19000,-8900,-1500000,-3600,-1700,0,0,"$10,659.89 "
15880,US1344291091,CAMPBE00001,FOMA,2022,0,0,-10000000,0,0,-2600000,0,0,0,0,-3200000,-2200000,-38000000,-1500000,-590000,0,0,"$10,858.87 "
15881,US1344291091,CAMPBE00001,FOMA,2022,0,0,-10000000,0,0,-2600000,0,0,0,0,-3200000,-2200000,-38000000,-1500000,-590000,0,0,"$10,858.87 "
15894,FI0009005961,STORAE00001,PAPM,2022,0,0,-330000000,0,0,-64000000,0,0,0,0,-190000000,-92000000,-370000000,-37000000,-15000000,0,0,"$7,224.60 "
15895,FI0009005961,STORAE00001,PAPM,2022,0,0,-330000000,0,0,-64000000,0,0,0,0,-190000000,-92000000,-370000000,-37000000,-15000000,0,0,"$7,224.60 "
15908,HK0000608585,NEWWOR00001,BLDG,2022,0,0,-6400000,0,0,-2500000,0,0,0,0,-2000000,-1600000,-18000000,-950000,-530000,0,0,"$3,728.27 "
15909,HK0000608585,NEWWOR00001,BLDG,2022,0,0,-6400000,0,0,-2500000,0,0,0,0,-2000000,-1600000,-18000000,-950000,-530000,0,0,"$3,728.27 "
15922,AU000000SCG8,SCENTR00001,RESS,2022,0,0,-2200000,0,0,-960000,0,0,0,0,-480000,-490000,-12000000,-340000,-210000,0,0,"$9,597.98 "
15923,AU000000SCG8,SCENTR00001,RESS,2022,0,0,-2200000,0,0,-960000,0,0,0,0,-480000,-490000,-12000000,-340000,-210000,0,0,"$9,597.98 "
15936,GB00BM8PJY71,ROYALB00002,FINS,2022,0,0,-290000,0,0,-120000,0,0,0,0,-70000,-69000,-5200000,-46000,-26000,0,0,"$18,783.20 "
